source_language,dest_language,source_text,dest_text
eng,pag,"An account of the genealogy of Jesus the Messiah, the son of David, the son of Abraham.",Sikato yay listaan na saray lalaki nen Jesu-Cristo a kabyangay boleg nen David a kabyangay boleg nen Abraham.
eng,pam,"An account of the genealogy of Jesus the Messiah, the son of David, the son of Abraham.",Iti ya ing listahan a piakitan karing makatua nang Jesu-Cristo a menibat king lahi nang David a lahi nang Abraham.
eng,tao,"An account of the genealogy of Jesus the Messiah, the son of David, the son of Abraham.",O yamalavat rana ngarangaran do jya am ineynapo na ni Yeso Kizisto a sivovoong na ni Tawey. Si Tawey am sivovoong na ni Apolahan.
eng,tgl,"An account of the genealogy of Jesus the Messiah, the son of David, the son of Abraham.","Ang aklat ng lahi ni Jesucristo, na anak ni David, na anak ni Abraham."
eng,pag,"Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,",Si Abraham so ama nen Isaac; si Isaac so ama nen Jacob; si Jacob so ama nen Juda tan saray agagi to.
eng,pam,"Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,","Anak neng Abraham i Isaac, anak neng Isaac i Jacob, anak neng Jacob i Juda at ding kapatad nang lalaki."
eng,tao,"Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,",O anak na ni Apolahan am si Isa. O anak na ni Isa am si Yakebo. O anak na ni Yakebo am si Yoda kano kakakteh na.
eng,tgl,"Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,",Naging anak ni Abraham si Isaac; at naging anak ni Isaac si Jacob; at naging anak ni Jacob si Juda at ang kaniyang mga kapatid;
eng,pag,"and Judah the father of Perez and Zerah by Tamar, and Perez the father of Hezron, and Hezron the father of Aram,",Si Juda so ama di Fares tan Zara (si Tamar so ina ra); si Fares so ama nen Esrom; si Esrom so ama nen Aram.
eng,pam,"and Judah the father of Perez and Zerah by Tamar, and Perez the father of Hezron, and Hezron the father of Aram,","Anak na lang Juda kang Tamar di Perez at Zera; anak neng Perez i Hezron, anak neng Hezron i Aran."
eng,tao,"and Judah the father of Perez and Zerah by Tamar, and Perez the father of Hezron, and Hezron the father of Aram,",O anak na ni Yoda kani Tama am si Veyletse a kani Syala. O anak na ni Veyletse am si Heselon. O anak na ni Heselon am si Yalan.
eng,tgl,"and Judah the father of Perez and Zerah by Tamar, and Perez the father of Hezron, and Hezron the father of Aram,",At naging anak ni Juda kay Tamar si Fares at si Zara; at naging anak ni Fares si Esrom; at naging anak ni Esrom si Aram;
eng,pag,"and Aram the father of Aminadab, and Aminadab the father of Nahshon, and Nahshon the father of Salmon,",Si Aram so ama nen Aminadab; si Aminadab so ama nen Naason; si Naason so ama nen Salmon.
eng,pam,"and Aram the father of Aminadab, and Aminadab the father of Nahshon, and Nahshon the father of Salmon,","Anak neng Aran i Aminadab, anak neng Aminadab i Nason, anak neng Nason i Salmon."
eng,tao,"and Aram the father of Aminadab, and Aminadab the father of Nahshon, and Nahshon the father of Salmon,",O anak na ni Yalan am si Aminata. O anak na ni Aminata am si Nason. O anak na ni Nason am si Saarmen.
eng,tgl,"and Aram the father of Aminadab, and Aminadab the father of Nahshon, and Nahshon the father of Salmon,",At naging anak ni Aram si Aminadab; at naging anak ni Aminadab si Naason; at naging anak ni Naason si Salmon;
eng,pag,"and Salmon the father of Boaz by Rahab, and Boaz the father of Obed by Ruth, and Obed the father of Jesse,",Si Salmon so ama nen Booz (si Rahab so ina to); si Booz so ama nen Obed (si Ruth so ina to); si Obed so ama nen Jesse.
eng,pam,"and Salmon the father of Boaz by Rahab, and Boaz the father of Obed by Ruth, and Obed the father of Jesse,","Anak neng Salmon i Boaz kang Rahab, anak neng Boaz kang Ruth i Obed, anak neng Obed i Jese."
eng,tao,"and Salmon the father of Boaz by Rahab, and Boaz the father of Obed by Ruth, and Obed the father of Jesse,",O anak na ni Saarmen a kani Laha am si Poatse. O anak na ni Poatse a kani Lote am si Opeyte. O anak na ni Opeyte am si Yesi.
