Masbateno,Tuwali-Ifugao,Yami,Cebuano,Ilocano,Ivatan,Kapampangan,Pangasinense,Tausug,Yakan,Bikol,English,Hiligaynon,Spanish,Tagalog,Waray
an_,an_,_a_,ng_,ti_,_ka,ng_,an_,in_,_si,an_,_th,ng_,_de,ng_,an_
_na,_na,o_a,ang,iti,an_,ing,ay_,iya,si_,_sa,the,_sa,os_,ang,nga
_sa,nan,na_,sa_,_ti,_na,ang,_na,an_,an_,_na,he_,ang,que,_sa,_ng
na_,ya_,_na,_sa,_a_,_a_,an_,_to,_ma,_pa,ng_,nd_,ga_,ue_,_na,_ha
_ka,_di,an_,_ka,_it,a_a,_ka,_si,_si,ang,_ka,_an,sa_,de_,sa_,ga_
sa_,ana,_am,ga_,_ka,_ma,_na,_ta,_in,in_,_ni,and,_ka,_y_,_ka,_hi
_ma,_ya,_ka,an_,_ma,no_,at_,_sa,ang,_du,_an,_to,nga,_qu,_an,han
_an,_da,_ma,nga,_ke,o_a,_in,en_,_ka,_ma,ang,to_,_na,el_,iya,_an
_si,di_,ng_,_an,agi,na_,g_m,_ma,sin,iye,na_,_yo,_ng,los,_si,_ka
san,_hi,do_,iya,_da,do_,_ma,tan,_ni,_ka,_ma,you,_si,_en,at_,ha_
_pa,n_d,_do,_ma,ada,_o_,_ki,d_s,niy,ne_,_si,d_t,_ma,_el,_ng,_na
iya,_ka,_ta,_ng,an_,a_n,kin,_a_,_na,iya,sa_,_hi,_an,es_,g_m,iya
a_n,ang,so_,_na,git,_do,a_k,ed_,_ha,_me,iya,ed_,a_s,_lo,_ma,a_h
a_s,ay_,no_,_si,nga,aya,ung,_ed,ya_,me_,nin,_he,nag,_di,ay_,gan
ya_,ada,ang,on_,dag,_si,_at,nen,nga,hin,in_,_of,san,_a_,_at,_ma
ga_,_an,am_,a_m,ana,_no,na_,ray,_pa,uk_,n_s,ing,an_,_la,ga_,n_n
on_,on_,_o_,ug_,ang,a_d,ala,ara,man,ain,n_n,of_,ag_,as_,na_,on_
n_n,_ma,_ni,_ug,a_a,a_s,g_a,_ka,n_m,duk,ga_,is_,on_,_es,ina,hin
nag,_ta,a_n,a_s,na_,o_k,ana,na_,ng_,ye_,n_m,e_t,mga,",_y",",_a",_pa
a_m,dan,ana,a_k,_na,_ni,_la,ang,"a,_","n,_",a_s,en_,_mg,do_,ala,a_n
mga,ah_,_no,g_m,_ng,_da,_ya,man,_hi,_iy,ind,ll_,la_,"s,_",a_k,mga
_mg,un_,o_n,_pa,ni_,_di,nan,ika,ha_,nin,sin,_wi,a_i,s_d,ani,_mg
_ni,hi_,_so,kan,_ni,_as,_pa,_la,ga_,han,ina,_wh,ala,_co,kan,ya_
ag_,n_n,o_t,_ni,ga_,ya_,g_k,n_a,a_s,ina,nag,at_,a_m,_Y_,ila,in_
n_m,_mu,_si,mga,_pa,_am,la_,et_,a_i,n._,a_n,e_w,_pa,ndo,_mg,n_m
a_a,nad,a_a,_mg,a_n,as_,_ni,ala,n_h,we_,mga,_be,a_n,"o,_",mga,a_i
n_s,n_h,_da,ya_,et_,a_m,nin,_da,n_s,aka,_mg,her,kag,no_,niy,ang
a_k,n_m,a_t,ila,da_,aka,ya_,ad_,_ta,_ba,kan,re_,aga,en_,_ni,o_h
ay_,_ke,nga,ong,en_,ata,lan,sik,a_k,uwa,ong,_sa,g_m,est,a_n,ay_
a_i,da_,a_m,ing,ken,apa,a_n,_ya,ila,ng_,ya_,ou_,_gi,_se,an_,a_a
ara,tag,tao,ala,kad,am_,ari,_pa,ban,n_s,_pa,er_,ing,la_,a_a,n_h
o_s,a_n,o_k,ana,aka,ia_,_di,ana,hi_,e_s,a_a,_ha,ay_,_le,a_s,a_m
kag,ina,n_n,a_n,a_t,n_n,man,on_,a_m,ban,_ta,ng_,a_a,._Y,y_,_ni
od_,kan,ing,la_,i_a,_pa,_a_,_in,iyu,_Is,aka,n_t,a_k,e_e,nga,ira
ni_,man,ao_,a_a,a_k,_ta,rin,so_,n_k,i_I,ara,him,iya,e_l,_pa,_iy
_gi,ot_,man,ay_,_ta,en_,_da,_so,amu,Isa,_da,_in,ila,ra_,t_s,n_i
o_n,na_,a_k,n_s,ay_,_so,_ba,"o,_",ung,_we,nda,hat,o_s,_ha,ing,o_n
aga,agu,ay_,_gi,pan,a_o,g_p,awa,pa_,_sa,sai,",_a",gin,ent,_ay,ara
gin,nga,da_,_mi,a_i,_sa,kar,_ra,a_n,nga,n_k,ut_,o_n,ien,ong,ra_
nda,_ha,en_,ani,i_J,sia,tan,aka,un_,_ne,a_k,_no,n_s,e_d,nan,iri
aka,_ot,_ji,n_n,ket,ta_,aka,oy_,mu_,n_d,man,as_,_ni,o_d,g_s,ana
mo_,ke_,ara,o_s,man,ara,din,n_t,kan,_aa,a_m,e_s,mo_,ado,g_k,aka
sin,_Je,a_d,ngo,nna,ang,a_i,y_a,tau,in.,ni_,ere,n_n,_no,apa,ng_
ind,n_a,ta_,pag,aga,so_,yu_,_Je,na_,siy,ing,",_""",ya_,_po,abi,ata
man,ali,a_s,tan,nan,ana,kan,sus,n_n,aha,nga,o_t,sil,on_,ata,mo_
ang,aka,o_m,ako,_Je,o_n,_me,to_,la_,"e,_",i_J,or_,_in,end,_At,ni_
n_k,ata,_ra,od_,_sa,o_m,kay,ya_,u_i,"in,",ako,his,g_i,ier,At_,n_p
_iy,Jes,ani,_ta,"a,_",da_,gan,Jes,_sa,e_m,aga,t_t,g_s,o_e,t_n,n_k
da_,yu_,ran,a_t,sus,ava,u_k,esu,aka,ya_,ala,ill,ni_,_pa,nag,pag
a_p,esu,iri,a_p,_ag,sa_,n_n,n_n,_da,_ta,gan,in_,g_n,le_,lan,a_k
ina,sus,ni_,pan,una,o_d,g_b,ama,siy,_in,yan,ve_,_ta,s_e,n_n,ako
ata,n_t,_Am,iin,Jes,nio,_mi,nan,a_h,gan,asi,ey_,a_p,_ma,"a,_",n_a
_ta,nah,rin,nan,esu,n_d,ayu,sar,_ba,ku_,on_,not,_iy,_su,ya_,a_t
ana,n_k,yan,ni_,nag,n_a,g_t,_an,han,amb,_Je,e_a,sin,ero,aga,ing
ako,in_,nyo,lan,nak,ra_,_ta,_ne,_am,ai_,sus,_on,lin,con,pag,gin
pag,us_,ya_,usa,ina,ay_,_Je,ng_,Īsa,wa_,n_a,hey,ako,"a,_",sin,nag
n_a,at_,_to,_Je,a_m,_an,nga,a_t,_Īs,e_k,Jes,on_,a_t,re_,y_n,",_n"
_di,day,yo_,siy,i_p,o_s,_ku,ak_,aun,mag,esu,tha,aka,ron,man,_ak
amo,_in,si_,ini,no_,a_k,sus,n_s,sa_,nen,_as,_fo,ags,_al,asa,sus
i_s,ng_,_pa,han,n_a,ira,_ke,a_a,aga,",_""",dan,for,_ba,ijo,a_i,hiy
apa,iya,a_o,a_i,a._,man,yan,ira,_la,nde,o_n,s_a,pag,a_l,g_i,to_
n_i,en_,_Ma,g_k,ak_,ina,ata,n_m,iba,sa_,o_s,es_,kon,e_a,aki,kon
_in,ida,aka,g_s,apa,s_k,esu,aga,a._,e_a,abi,"d,_",amo,an_,._A,tan
yo_,kay,ira,sus,yo_,o_p,Jes,ag_,a_t,kaa,ay_,me_,mag,e_s,a'y,amo
i_n,ayu,_ny,o_n,ayo,kap,"a,_",_ag,au_,pai,o_a,hen,_ak,"os,",yan,"a,_"
os_,nay,i_Y,Jes,i_k,io_,ama,ey_,ata,ini,ini,_wa,man,n_e,siy,_Je
o_k,_pa,n_a,esu,o_a,kan,abi,a_s,nil,aam,ko_,"m,_",od_,sta,ags,g_h
to_,_ad,kan,g_n,kay,_ko,ara,kay,awa,ahi,siy,aid,sia,s._,nil,na_
aba,diy,a._,i_J,dak,nga,g_s,"a,_",yu_,aa_,",_""",ave,ata,por,ama,Jes
siy,mun,ake,_di,i_m,mo_,us_,_di,ku_,nan,g_n,ot_,_Je,tro,_ba,esu
niy,a_y,_Ye,dto,ala,o_t,asa,eng,ara,nne,i_n,wil,a_g,te_,"o,_",hi_
li_,a._,nir,niy,n_n,i_J,ina,n_i,n_p,e_d,amo,e_o,"a,_",a_d,aka,ini
_ak,adi,_ya,nag,asa,ni_,aya,aba,aya,a_s,a_p,sai,ili,se_,ali,dto
sab,pu_,_jy,n_k,kua,s_a,eng,ali,aba,ala,da_,hem,a_b,and,ana,_ta
_Je,_yu,pan,to_,ann,_Je,ita,uan,n_i,n_m,ndo,one,yo_,o:_,a_m,iyo
o_a,"y_""",jya,nak,ta_,nak,a._,a_n,_ku,uha,si_,d_h,Jes,res,g_a,_gi
sus,dah,Yes,a_u,n_t,_ay,g_d,",_""",yan,_ga,sak,_we,esu,s_l,"n,_",i_J
ala,gun,o._,aka,i_n,o_o,_sa,may,mag,ata,g_m,_a_,sus,_vi,t_,od_
n_p,Apu,eso,ayo,aya,ato,inu,nga,ta_,_Pa,gad,s_t,i_J,o_a,gka,_ba
",_""",ak_,ra_,man,inu,n_s,a_a,ina,_ib,_la,ot_,id_,tan,s_p,agk,ala
i_J,gan,sir,yan,i_t,awo,_mu,yan,a_d,ani,asa,who,bal,dij,in_,kam
Jes,_Di,to_,gon,a_d,Jes,a_m,_yo,ani,_bi,tan,se_,g_a,or_,ayo,i_n
esu,ulu,ma_,g_a,ami,esu,nak,_ir,i_Ī,tan,kam,_is,",_""",dos,a't,_di
ko_,_Ap,ji_,",_""",_ad,ano,a_l,ayo,n_t,a_m,mag,e_h,ana,nto,nyo,rin
asa,pan,aci,_ba,_ba,sus,n_k,o._,wa_,_Ma,a_d,The,aba,era,ari,_in
ta_,n_y,ong,ata,to_,taw,g_J,ngg,g_n,man,g_s,thi,nyo,s_c,la_,",_"""
ayo,lan,mey,g_i,di_,ari,apa,in_,tan,",_p",niy,"s,_",ia_,_to,g_p,kan
nak,a_m,_ko,na_,aba,ahe,ku_,pan,ud_,e_p,"o,_",".""_",ina,_mu,iny,ags
aya,".""_",ano,kam,o_t,a_p,pan,a_m,asa,aan,han,ne_,agp,;_y,aha,ina
in_,n_i,o_d,g_g,o_k,",_""",ban,ale,n_b,_ku,"a,_",_Je,ini,_un,o_a,niy
lan,a_a,ata,ko_,awa,a._,da_,ata,pag,_pi,ta_,_Th,gpa,cie,g_n,a_b
a_t,te_,ala,o_k,nun,"a,_",ali,n_J,_Na,i_s,aro,"e,_",taw,"e,_",hin,man
ama,uwa,Man,ka_,ara,ri_,_al,inm,sab,aku,ad_,_I_,ali,s_s,uma,_ti
mag,han,aha,mo_,us_,nan,g_i,kua,tu_,nak,a_t,d_a,iny,al_,awa,sir
nga,ios,mo_,si_,day,ake,bat,od_,nan,ari,ags,f_t,",_k",dic,pan,awo
abi,Dio,"am,",amo,i_s,par,tun,aya,n_d,am_,ata,_co,awo,bre,mag,inm
ali,dak,n_d,us_,toy,a_t,aki,_ba,aw_,".""_",aiy,e_c,apa,e_h,_ak,nan
dto,wan,wan,taw,em_,awa,g_l,n_d,_di,kan,aha,_do,ka_,par,yon,hir
iyo,uh_,"m,_",a_b,i_d,kav,tin,bal,uha,u_s,_Na,_it,o_a,_si,",_n","n,_"
tan,u_D,o_j,ili,i_b,in_,_ne,kat,"Na,",agu,a_i,ent,si_,lo_,bi_,"o,_"
han,hiy,ko_,ag_,_in,vat,_e_,",_t",",_""",ama,sab,o_h,us_,_Je,ito,taw
d_s,iye,o_i,_iy,san,._A,n_d,lan,u_m,_de,ada,th_,d_s,_sa,o_s,ko_
aki,tat,n_s,nin,ama,rin,ian,too,ab_,ana,ai_,was,ko_,del,i_n,a_p
kay,n_J,nan,awo,gan,pan,bal,ato,aku,i_m,ain,ter,isa,_cu,ndi,at_
a_g,_bo,i_A,_ak,._N,ko_,ta_,ant,a_p,_da,mo_,an_,g_k,o._,_la,aba
kam,e_h,gay,_ki,ata,_mo,mak,yo_,kam,e_b,ki_,us_,kam,_él,san,adt
ro_,ta_,",_""",a_g,ita,dia,eka,san,u_k,._P,lag,_ca,o_k,_te,di_,yo_
ili,os_,apa,g_p,kan,tan,iba,at_,ay_,un_,_in,_ma,i_n,s_a,n_a,d_h
a_d,ngi,Ama,li_,may,cha,alu,ta_,_mu,bi_,_ba,_se,imo,aba,_in,mat
si_,_mi,o_p,ali,uan,".""_",a_d,gga,_Tu,de_,aya,our,ulo,_ve,on_,_Na
apo,ung,g_a,kon,aki,_As,n_a,o_a,"u,_",_Tu,o_k,ho_,ta_,otr,t_a,_ko
nan,a_k,_me,kin,apu,ro_,_i_,us_,_tu,gge,abo,it_,i_s,n_l,nab,aw_
